#,Thermostat,identifier,511881595382
#,Thermostat,name,Main Floor
#,Start,date,2023-01-01
#,End,date,2023-01-31

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (C),Heat Set Temp (C),Current Temp (C),Current Humidity (%RH),Outdoor Temp (C),Wind Speed (km/h),Cool Stage 1 (sec),Cool Stage 2 (sec),Heat Stage 1 (sec),Heat Stage 2 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (C),Thermostat Humidity (%RH),Thermostat Motion
2022-12-31,23:00:00,auto,compressorHeatStage2On,,Home,27.8,22.8,22.4,44,2.9,0,0,0,300,300,0,300,,22.4,44,1,
2022-12-31,23:05:00,auto,compressorHeatStage2On,,Home,27.8,22.8,22.7,46,2.9,0,0,0,225,225,0,270,,22.7,46,0,
2022-12-31,23:10:00,auto,compressorHeatOff,,Home,27.8,22.8,22.8,44,2.9,0,0,0,0,0,0,0,,22.8,44,0,
2022-12-31,23:15:00,auto,compressorHeatOff,,Home,27.8,22.8,22.8,43,2.9,0,0,0,0,0,0,0,,22.8,43,0,
2022-12-31,23:20:00,auto,compressorHeatOff,,Home,27.8,22.8,22.6,43,2.9,0,0,0,0,0,0,0,,22.6,43,0,
2022-12-31,23:25:00,auto,compressorHeatOff,,Home,27.8,22.8,22.6,43,2.9,0,0,0,120,0,0,120,,22.6,43,1,
2022-12-31,23:30:00,auto,compressorHeatStage1On,,Home,27.8,22.8,22.4,43,2.9,0,0,0,300,0,0,300,,22.4,43,1,
2022-12-31,23:35:00,auto,compressorHeatStage1On,,Home,27.8,22.8,22.4,44,2.9,0,0,0,300,0,0,300,,22.4,44,1,
2022-12-31,23:40:00,auto,compressorHeatStage1On,,Home,27.8,22.8,22.4,44,2.9,0,0,0,300,120,0,300,,22.4,44,1,
2022-12-31,23:45:00,auto,compressorHeatStage2On,,Home,27.8,22.8,22.6,44,2.9,0,0,0,300,300,0,300,,22.6,44,1,
2022-12-31,23:50:00,auto,compressorHeatStage2On,,Home,27.8,22.8,22.8,44,2.9,0,0,0,15,15,0,60,,22.8,44,0,
2022-12-31,23:55:00,auto,compressorHeatOff,,Home,26.6,21.6,22.7,43,2.9,0,0,0,0,0,0,0,,22.7,43,0,
2023-01-01,00:00:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.6,43,2.7,0,0,0,0,0,0,0,,22.6,43,0,
2023-01-01,00:05:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.5,43,2.7,0,0,0,0,0,0,0,,22.5,43,1,
2023-01-01,00:10:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.4,42,2.7,0,0,0,0,0,0,90,,22.4,42,0,
2023-01-01,00:15:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.4,42,2.7,0,0,0,0,0,0,300,,22.4,42,1,
2023-01-01,00:20:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.3,42,2.7,0,0,0,0,0,0,135,,22.3,42,1,
2023-01-01,00:25:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.2,42,2.7,0,0,0,0,0,0,15,,22.2,42,1,
2023-01-01,00:30:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.2,42,2.7,0,0,0,0,0,0,300,,22.2,42,1,
2023-01-01,00:35:00,auto,compressorHeatOff,,Sleep,25.3,20.3,22.2,42,2.7,0,0,0,0,0,0,135,,22.2,42,0,
